0,0,0.449,0,7448,56.778,379.2382691344303
1,1,0.577,0.475,7992,44.743,354.3011685101337
2,2,0.333,0.452,3110,82.699,388.7361904163887
3,3,0.107,0.611,-86,87.483,326.16895588127545
4,4,0.497,0.551,6347,32.161,342.89068969516615
5,5,0.224,0.197,6316,63.345,379.7210220628961
6,6,0.653,0.393,7201,68.118,387.8630245759374
7,7,0.337,0.669,-134,90.793,357.4366296994849
8,8,0.694,0.33,8003,47.414,347.54271439746464
9,9,0.27,0.668,2382,49.779,318.93943576887494
10,10,0.434,0.261,7003,45.958,373.29823527657726
11,11,0.112,0.436,4077,42.59,316.55784954896836
12,12,0.259,0.477,1347,48.141,332.47214226912166
13,13,0.738,0.89,1164,72.614,364.46402782294433
14,14,0.399,0.264,11757,34.578,343.497730196764
15,15,0.171,0.273,4260,63.75,356.88786058740516
16,16,0.384,0.619,3437,42.511,330.6969939560665
17,17,0.391,0.677,-146,66.693,344.466463711097
18,18,0.467,0.243,8257,40.467,357.72631848821345
19,19,0.199,0.382,6792,49.502,340.5198264357384
20,20,1,0.976,5796,19.714,335.10967814208266
21,21,0.199,0.502,3479,24.504,289.7266240813781
22,22,0.659,0.726,2966,79.53,394.61218904794197
23,23,0.473,0.516,4627,67.961,364.71121207745716
24,24,0.51,0.595,3666,20.142,316.84841208290396
25,25,0.508,0.827,5980,86.899,369.1052777307802
26,26,0.211,0.655,0,43.425,296.3506119202918
27,27,0.107,0.666,0,97.446,341.0887393500459
28,28,0.454,0.932,-169,66.378,317.442385679399
29,29,0.588,0.42,7936,75.003,389.3812170797216
30,30,0.177,0.418,45,56.181,342.2630787641279
31,31,0.242,0.562,0,75.421,344.0723458409795
32,32,0.448,1,-185,47.84,291.8646450812833
33,33,0.197,0.662,-157,47.324,306.4016177886719
34,34,0.643,0.423,7156,65.706,382.1541543464209
35,35,0.598,0.493,5985,78.828,391.7499232238147
36,36,0.318,0.526,137,59.783,340.67242694329786
37,37,0.142,0.545,-44,39.527,296.27297743920536
38,38,0.443,0.361,7387,73.391,387.82563239648545
39,39,0.506,0.525,5372,100,410.19827356656015
40,40,0.372,0.335,6659,53.835,370.2367381553572
41,41,0.285,0.842,-64,21.194,274.46347287716003
42,42,0.479,0.671,943,15.478,309.1766002767078
43,43,0.373,0.651,9115,91.344,373.08143186162675
44,44,0.329,0.441,2374,46.589,345.7460770733102
45,45,0.075,0.344,-231,22.68,292.6839654505472
46,46,0.399,0.614,5145,59.929,362.0235851350612
47,47,0.547,0.872,855,69.629,346.87569361130596
48,48,0.57,0.315,9260,66.557,376.5352658291861
49,49,0.191,0.674,-124,49.333,304.9996159512584
50,50,0.535,0.223,7792,22.895,341.6753836442973
51,51,0.727,0.441,10203,36.76,352.0230750474668
52,52,0.625,0.612,6917,51.607,360.2838893747804
53,53,0.231,0.58,-159,17.551,290.1546328846763
54,54,0.574,0.429,7056,92.253,410.85088417009143
55,55,0,0.515,-81,76.059,320.27182037105547
56,56,0.448,0.554,3199,91.758,387.96793071612797
57,57,0.461,0.876,-63,60.291,304.81119292525796
58,58,0.523,0.628,1049,75.174,359.08435120931836
59,59,0.285,0.862,65,97.513,337.4824872957068
60,60,0.715,0.715,6044,46.092,352.18916653782
61,61,0.516,0.581,3553,62.14,356.08872007765405
62,62,0.526,0.663,1354,87.984,370.0530319256209
63,63,0.271,0.691,1538,47.269,300.48930621699174
64,64,0.479,0.604,1161,42.335,322.81992645318223
65,65,0.472,0.942,-4,56.891,319.85690992954807
66,66,0.63,0.317,8011,83.299,402.6003022487256
67,67,0.387,0.621,1029,58.984,348.27267466245326
68,68,0.573,0.034,7815,51.172,366.9009092701948
69,69,0.337,0.8,941,84.908,337.38261503325816
70,70,0.404,0.51,5158,74.213,384.1670130962509
71,71,0.395,0.477,5063,63.416,364.88925214242823
